Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,110,1,Bean,36,TMCB,1170,203,1,"M,W",08:00 AM,09:15 AM,17.7%
Winter 2027,110,2,"Dougal, Duane",41,JSB,114,51,100,"M,W",10:00 AM,11:15 AM,80.4%
Winter 2027,110,4,"Jones, Angela",101,TMCB,1170,203,1,"M,W",09:30 AM,10:45 AM,49.8%
Winter 2027,111,1,Richardson,58,MARB,222,269,4,"M,W",09:30 AM,10:45 AM,21.6%
Winter 2027,111,2,Stephens,99,TMCB,1170,203,1,"M,W",12:30 PM,01:45 PM,48.8%
Winter 2027,111,4,"Giles, Steven",10,HBLL,3718,59,1,"M,W",08:00 AM,09:15 AM,16.9%
Winter 2027,240,1,Rodham,56,MARB,130,72,1,"M,W",03:30 PM,04:45 PM,77.8%
Winter 2027,256,1,Hughes,32,KMBL,270,42,100,"M,W",09:00 AM,09:50 AM,76.2%
Winter 2027,393,1,Reynolds,57,HBLL,3718,59,1,"M,W",12:30 PM,01:45 PM,96.6%
Winter 2027,393,2,Reynolds,39,HBLL,3718,59,1,"M,W",02:00 PM,03:15 PM,66.1%
Winter 2027,401R,1,Bean,6,TMCB,134,42,1,"M,W",01:00 PM,02:15 PM,14.3%
Winter 2027,428,1,"Webster, Bruce",69,MARB,B113,79,100,M,03:00 PM,05:50 PM,87.3%
Winter 2027,452,1,Jenkins,26,MARB,130,72,1,"M,W",08:00 AM,09:15 AM,36.1%
Winter 2027,452,2,Reynolds,64,MARB,130,72,1,"M,W",09:30 AM,10:45 AM,88.9%
Winter 2027,556,1,Hughes,16,HBLL,3718,59,1,"M,W",09:30 AM,10:45 AM,27.1%
Winter 2027,601R,1,Richardson,10,TMCB,299,20,100,"M,W",02:00 PM,03:15 PM,50.0%
