Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Days,Start Time,End Time,Utilization %
Fall 2026,355,1,Egbert,50,MARB,222,269,"T,Th",12:30 PM,01:45 PM,18.6%
Fall 2026,312,1,Farrell,30,MARB,222,269,"T,Th",02:00 PM,03:15 PM,11.2%
Fall 2026,312,2,Farrell,30,TMCB,1170,203,"T,Th",03:30 PM,04:45 PM,14.8%
Fall 2026,493,1,Farrell,30,JKB,3108,306,"T,Th",12:30 PM,01:45 PM,9.8%
Fall 2026,404,1,"Gates, Darin",30,TMCB,120,41,"M,W",02:00 PM,03:15 PM,73.2%
Fall 2026,404,2,"Gates, Darin",51,HBLL,3718,59,"M,W",03:30 PM,04:45 PM,86.4%
Fall 2026,330,1,Germane,29,ESC,C215,170,"T,Th",09:30 AM,10:45 AM,17.1%
Fall 2026,430,1,Germane,30,CB,377,342,"T,Th",12:30 PM,01:45 PM,8.8%
Fall 2026,111,5,"Giles, Steven",30,MCKB,26,30,"M,W",03:30 PM,04:45 PM,100.0%
Fall 2026,236,1,Goodrich,59,HBLL,3718,59,"M,W,F",10:00 AM,10:50 AM,100.0%
Fall 2026,236,2,Goodrich,140,TMCB,1170,203,"M,W,F",12:00 PM,12:50 PM,69.0%
Fall 2026,236,3,Goodrich,30,TMCB,134,42,"M,W,F",09:00 AM,09:50 AM,71.4%
Fall 2026,501R,1,Grimsman,7,CB,377,342,"M,W",09:30 AM,10:45 AM,2.0%
Fall 2026,110E,1,"Hansen, Bruce",30,TMCB,134,42,"T,Th",05:00 PM,06:15 PM,71.4%
Fall 2026,256,1,Hughes,58,CB,377,342,"M,W",02:00 PM,03:15 PM,17.0%
Fall 2026,401R,2,Hughes,16,CB,377,342,"M,W",11:00 AM,12:15 PM,4.7%
Fall 2026,474,1,Jenkins,74,JKB,1102,285,"T,Th",03:30 PM,04:45 PM,26.0%
Fall 2026,240,1,Jensen,30,JKB,3108,306,"T,Th",03:30 PM,04:45 PM,9.8%
Fall 2026,240,2,Jensen,30,TMCB,1170,203,"T,Th",09:30 AM,10:45 AM,14.8%
Fall 2026,329,1,Jensen,69,JFSB,B092,125,"T,Th",12:30 PM,01:45 PM,55.2%
Fall 2026,356,1,Jones MD,11,JKB,3108,306,"M,W",09:30 AM,10:45 AM,3.6%
