Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,110,1,Bean,200,JKB,3108,306,2,"T,Th",02:00 PM,03:15 PM,65.4%
Winter 2027,110,2,"Dougal, Duane",30,JKB,1102,285,2,"M,W",09:30 AM,10:45 AM,10.5%
Winter 2027,110,4,"Jones, Angela",30,JKB,1102,285,2,"T,Th",09:30 AM,10:45 AM,10.5%
Winter 2027,111,1,Richardson,200,JKB,1102,285,2,"M,W",11:00 AM,12:15 PM,70.2%
Winter 2027,111,2,Stephens,200,JKB,3108,306,2,"M,W",02:00 PM,03:15 PM,65.4%
Winter 2027,111,4,"Giles, Steven",30,TMCB,1170,203,1,"T,Th",02:00 PM,03:15 PM,14.8%
Winter 2027,235,2,MJ,30,JKB,3108,306,2,"M,W",11:00 AM,12:15 PM,9.8%
Winter 2027,235,3,MJ,30,JKB,3108,306,2,"T,Th",12:30 PM,01:45 PM,9.8%
Winter 2027,235,4,Stephens,180,JKB,3108,306,2,"T,Th",09:30 AM,10:45 AM,58.8%
Winter 2027,235,5,"Dougal, Duane",30,JKB,1102,285,2,"T,Th",02:00 PM,03:15 PM,10.5%
Winter 2027,240,1,Rodham,30,JKB,3108,306,2,"M,W",12:30 PM,01:45 PM,9.8%
Winter 2027,240,3,Wilkerson,195,JKB,1102,285,2,"M,W",02:00 PM,03:15 PM,68.4%
Winter 2027,270,1,Snell,36,JFSB,B092,125,2,"M,W",02:00 PM,03:15 PM,28.8%
Winter 2027,270,2,Snell,56,JFSB,B092,125,2,"M,W",11:00 AM,12:15 PM,44.8%
Winter 2027,301R,1,Bean,0,MARB,130,72,1,"T,Th",09:30 AM,10:45 AM,0.0%
Winter 2027,301R,2,MJ,0,MARB,130,72,1,"M,W",12:30 PM,01:45 PM,0.0%
Winter 2027,301R,3,Stephens,16,MARB,130,72,1,"M,W",11:00 AM,12:15 PM,22.2%
Winter 2027,324,1,Deccio,55,JKB,3108,306,2,"M,W,F",09:00 AM,09:50 AM,18.0%
Winter 2027,324,2,Deccio,74,JKB,3108,306,2,"M,W,F",10:00 AM,10:50 AM,24.2%
Winter 2027,324,3,"Dougal, Duane",30,JKB,1102,285,2,"M,W,F",01:00 PM,01:50 PM,10.5%
Winter 2027,340,1,Rodham,81,JFSB,B092,125,2,"T,Th",02:00 PM,03:50 PM,64.8%
Winter 2027,340,2,Wilkerson,30,JFSB,B092,125,2,"T,Th",10:00 AM,11:50 AM,24.0%
Winter 2027,340,3,Wilkerson,30,JFSB,B092,125,2,"T,Th",12:00 PM,01:50 PM,24.0%
Winter 2027,345E,1,"Judd, Glenn",0,TMCB,120,41,1,"T,Th",05:00 PM,06:15 PM,0.0%
Winter 2027,473,1,Wingate,32,MARB,130,72,1,"T,Th",12:30 PM,01:45 PM,44.4%
Winter 2027,474,1,Jenkins,64,JFSB,B092,125,2,"M,W",09:30 AM,10:45 AM,51.2%
Winter 2027,474,2,Killian,30,JFSB,B092,125,2,"M,W",12:30 PM,01:45 PM,24.0%
Winter 2027,493,1,Farrell,30,MARB,130,72,1,"T,Th",02:00 PM,03:15 PM,41.7%
Winter 2027,630,1,Germane,30,HBLL,3718,59,1,"T,Th",12:30 PM,01:45 PM,50.8%
Winter 2027,704R,1,Morse,10,MARB,130,72,1,"M,W",02:00 PM,03:15 PM,13.9%
Winter 2027,712,1,Warnick,30,HBLL,3718,59,1,"T,Th",02:00 PM,03:15 PM,50.8%
