Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Summer 2027,110,1,"Dougal, Duane",24,TMCB,136,40,1,"M,W",12:30 PM,01:45 PM,60.0%
Summer 2027,224A,1,Barker,8,JFSB,B037,120,1,"M,W,F",03:00 PM,03:50 PM,6.7%
Summer 2027,235,1,"Dougal, Duane",40,TMCB,136,40,1,"T,Th",03:30 PM,04:45 PM,100.0%
Summer 2027,236,1,Barker,41,JFSB,B037,120,1,"M,W,F",12:00 PM,12:50 PM,34.2%
Summer 2027,404,1,"Gates, Darin",10,TMCB,136,40,1,"M,W",09:30 AM,10:45 AM,25.0%
