Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Fall 2026,110,1,Bean,81,TMCB,1170,203,1,"M,W",02:00 PM,03:15 PM,39.9%
Fall 2026,110,3,"Dougal, Duane",85,MARB,B107,35,100,"M,W",12:30 PM,01:45 PM,242.9%
Fall 2026,110,4,"Dougal, Duane",173,TMCB,1170,203,1,"M,W",09:30 AM,10:45 AM,85.2%
Fall 2026,111,2,Reynolds,74,TMCB,1170,203,1,"M,W",08:00 AM,09:15 AM,36.5%
Fall 2026,111,3,Richardson,69,JKB,2113,85,3,"M,W",11:00 AM,12:15 PM,81.2%
Fall 2026,111,5,"Giles, Steven",35,JKB,1002,45,100,"M,W",02:00 PM,03:15 PM,77.8%
Fall 2026,256,1,Hughes,39,CTB,240,49,100,"M,W",09:00 AM,09:50 AM,79.6%
Fall 2026,260C,1,Clement,55,LSB,2004,65,100,"M,W",09:30 AM,10:45 AM,84.6%
Fall 2026,340,1,Rodham,55,JKB,2113,85,3,"M,W",03:00 PM,04:50 PM,64.7%
Fall 2026,340,2,Wilkerson,56,JKB,2107,66,100,"M,W",01:00 PM,02:50 PM,84.8%
Fall 2026,340,3,Wilkerson,40,JKB,2113,85,3,"M,W",01:00 PM,02:50 PM,47.1%
Fall 2026,401R,1,Bean,13,JKB,2002,23,100,"M,W",11:00 AM,11:50 AM,56.5%
Fall 2026,428,1,"Webster, Bruce",32,JFSB,B135,42,100,M,02:00 PM,04:50 PM,76.2%
Fall 2026,452,1,Reynolds,69,MARB,130,72,1,"M,W",12:30 PM,01:45 PM,95.8%
Fall 2026,452,2,Reynolds,25,MARB,B107,35,100,"M,W",02:00 PM,03:15 PM,71.4%
Fall 2026,473,1,Wingate,32,JKB,2111,42,100,"M,W",02:00 PM,03:15 PM,76.2%
Fall 2026,479,1,Ringger,20,TMCB,120,41,1,"M,W",03:30 PM,04:45 PM,48.8%
Fall 2026,653,1,Ng,13,TMCB,134,42,1,"M,W",11:00 AM,12:15 PM,31.0%
Fall 2026,670,1,Archibald,17,TMCB,134,42,1,"M,W",09:30 AM,10:45 AM,40.5%
