Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Fall 2026,404,2,"Gates, Darin",40,TMCB,120,41,1,"T,Th",03:30 PM,04:45 PM,97.6%
Fall 2026,405,1,"Earnshaw, Craig",18,TMCB,120,41,1,"M,W",03:30 PM,04:45 PM,43.9%
Fall 2026,418,1,Williams,70,MARB,130,72,1,"M,W,F",01:00 PM,01:50 PM,97.2%
Fall 2026,428,1,"Webster, Bruce",32,TMCB,1170,203,1,F,02:00 PM,04:30 PM,15.8%
Fall 2026,430,1,Germane,30,TMCB,120,41,1,"T,Th",12:30 PM,01:45 PM,73.2%
Fall 2026,452,1,Reynolds,47,JKB,3108,306,2,"M,W",11:00 AM,12:15 PM,15.4%
Fall 2026,452,2,Reynolds,47,JKB,3108,306,2,"T,Th",03:30 PM,04:45 PM,15.4%
Fall 2026,460,1,Deccio,37,MARB,130,72,1,"M,W,F",10:00 AM,10:50 AM,51.4%
Fall 2026,465,1,Zappala,50,JKB,1102,285,2,"M,W",02:00 PM,03:15 PM,17.5%
Fall 2026,470,1,Archibald,64,CB,377,342,3,"T,Th",03:30 PM,04:45 PM,18.7%
Fall 2026,473,1,Wingate,32,JKB,3108,306,2,"M,W",09:30 AM,10:45 AM,10.5%
Fall 2026,474,1,Jenkins,74,JKB,3108,306,2,"M,W",03:30 PM,04:45 PM,24.2%
Fall 2026,479,1,Ringger,20,MARB,130,72,1,"T,Th",09:30 AM,10:45 AM,27.8%
Fall 2026,482T,1,Team:MJ/Snell,30,JKB,3108,306,2,"T,Th",02:00 PM,03:15 PM,9.8%
Fall 2026,493,1,Farrell,30,TMCB,134,42,1,"T,Th",03:30 PM,04:45 PM,71.4%
Fall 2026,501R,1,Grimsman,7,HBLL,3718,59,1,"M,W",02:00 PM,03:15 PM,11.9%
Fall 2026,574,1,Snell,29,TMCB,134,42,1,"M,W",09:30 AM,10:45 AM,69.0%
Fall 2026,580,1,Warnick,31,TMCB,134,42,1,"M,W",12:30 PM,01:45 PM,73.8%
Fall 2026,601R,1,Ringger,15,HBLL,3718,59,1,"T,Th",03:30 PM,04:45 PM,25.4%
Fall 2026,601RB,1,Page,30,TMCB,134,42,1,"T,Th",09:30 AM,10:45 AM,71.4%
Fall 2026,653,1,Ng,13,TMCB,134,42,1,"M,W",02:00 PM,03:15 PM,31.0%
Fall 2026,670,1,Archibald,17,MARB,130,72,1,"M,W",02:00 PM,03:15 PM,23.6%
Fall 2026,673,1,Ventura,30,MARB,130,72,1,"T,Th",03:30 PM,04:45 PM,41.7%
Fall 2026,674,1,Wingate,42,JKB,1102,285,2,"T,Th",03:30 PM,04:45 PM,14.7%
Fall 2026,686,1,Mercer,5,TMCB,1170,203,1,"M,W,F",09:00 AM,09:50 AM,2.5%
Fall 2026,704R,1,Richardson,30,TMCB,120,41,1,"T,Th",09:30 AM,10:45 AM,73.2%
